L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.0032,121,0.1512,0.166,872,softmax,softmax,17,he_normal,0.0931,binary_crossentropy,3,0.854,"(142, 263, 405, 1)",sigmoid,adam
0.021,40,0.0805,0.899,797,tanh,sigmoid,17,glorot_normal,0.0825,binary_crossentropy,3,0.581,"(77, 1)",sigmoid,Adamax
0.0504,546,0.2789,0.859,734,softmax,relu,17,glorot_normal,0.2316,binary_crossentropy,3,0.716,"(108, 1)",sigmoid,adam
0.0749,575,0.025,0.213,83,sigmoid,softmax,17,he_uniform,0.2722,binary_crossentropy,3,0.414,"(484, 1)",sigmoid,Adagrad
0.1765,595,0.1436,0.61,181,sigmoid,tanh,17,he_normal,0.108,binary_crossentropy,3,0.605,"(165, 40, 1)",sigmoid,Adagrad
0.2133,28,0.201,0.138,111,relu,softmax,17,glorot_uniform,0.2859,binary_crossentropy,3,0.66,"(479, 1)",sigmoid,Adamax
0.2331,434,0.1485,0.799,952,relu,tanh,17,constant,0.1058,binary_crossentropy,3,0.201,"(539, 1)",sigmoid,Adamax
0.2432,38,0.1357,0.677,136,sigmoid,sigmoid,17,constant,0.2769,binary_crossentropy,3,0.817,"(77, 517, 1)",sigmoid,Adagrad
0.2484,144,0.2939,0.824,307,sigmoid,softmax,17,glorot_normal,0.2089,binary_crossentropy,3,0.103,"(560, 125, 234, 514, 1)",sigmoid,Nadam
0.2781,128,0.1149,0.266,156,relu,relu,17,glorot_uniform,0.2938,binary_crossentropy,3,0.548,"(478, 327, 1)",sigmoid,Nadam
